bag_id,seed_weight_g_m2,plot,treatment,block,lb_acre,kg_ha
2001,58.6199,1,PC,1,522.994509137278,586.1990000000001
2011,82.14,4,PC,1,732.8359308107999,821.4
2027,70.532,9,PC_N,2,629.2717783290399,705.3199999999999
2013,67.285,5,PC_N,1,600.3027222377,672.8499999999999
2007,29.4,3,PC_N,1,262.30066186799996,294
2009,52.13,3,PC_N,1,465.0929762986,521.3000000000001
2012,39,4,PC,1,347.94985757999996,390
2004,2.58,2,ref,1,23.018221347599997,25.8
2003,40.551,1,PC,1,361.78755576222,405.51
2024,53.859,8,PC,2,480.51875331798,538.59
2008,20.37,3,PC_N,1,181.7368871514,203.70000000000002
2002,46.648,1,PC,1,416.18371683056,466.48
2014,106.918,5,PC_N,1,953.90007365996,1069.18
2015,119.687,5,PC_N,1,1067.82242574814,1196.87
2010,60.955,4,PC,1,543.8277838150999,609.55
2002,75.465,1,PC,1,673.2829744173,754.6500000000001
2023,77.553,8,PC,2,691.9116744846599,775.53
2025,69.832,9,PC_N,2,623.0265244750399,698.3199999999999
2028,92.428,8,PC,2,824.6233188821599,924.28
2026,NA,9,PC_N,2,NA,NA
3000,0,6,ref,1,0,0
3001,0,7,ref,2,0,0
