bag_id,seed_weight_g_m2,lb_acre,kg_ha
2001,58.6199,522.994509137278,586.1990000000001
2011,82.14,732.8359308107999,821.4
2027,70.532,629.2717783290399,705.3199999999999
2013,67.285,600.3027222377,672.8499999999999
2007,29.4,262.30066186799996,294
2009,52.13,465.0929762986,521.3000000000001
2012,39,347.94985757999996,390
2004,2.58,23.018221347599997,25.8
2003,40.551,361.78755576222,405.51
2024,53.859,480.51875331798,538.59
2008,20.37,181.7368871514,203.70000000000002
2002,46.648,416.18371683056,466.48
2014,106.918,953.90007365996,1069.18
2015,119.687,1067.82242574814,1196.87
2010,60.955,543.8277838150999,609.55
2002,75.465,673.2829744173,754.6500000000001
2023,77.553,691.9116744846599,775.53
2025,69.832,623.0265244750399,698.3199999999999
2027,92.428,824.6233188821599,924.28
