spp,soil_block,row_no,data,fit,days,pct_mass_remain,.fitted,.resid
AR,2,6,,,0,93.46203904555314,100,-6.537960954446859
AR,2,6,,,7,85.19442984760903,92.43329267120201,-7.2388628235929815
AR,2,6,,,14,76.60426643447977,85.43913594040087,-8.834869505921105
AR,2,6,,,21,70.93935584550695,78.97420657953688,-8.03485073402993
AR,2,6,,,28,57.1958981612447,72.998459502423,-15.802561341178304
AR,2,6,,,49,52.57253045841003,57.64995420732312,-5.077423748913091
AR,2,6,,,63,51.429285773814485,49.25562274477366,2.1736630290408243
AR,2,6,,,84,59.85517484987637,38.8992372584949,20.95593759138147
AR,2,7,,,0,91.5601703940362,100,-8.439829605963794
AR,2,7,,,7,83.09785680128678,90.26971011075636,-7.171853309469583
AR,2,7,,,14,75.47004261719728,81.4862056347999,-6.016163017602622
AR,2,7,,,21,70.83838558808246,73.55736160678869,-2.718976018706229
AR,2,7,,,28,56.44097003320304,66.40001708756894,-9.959047054365904
AR,2,7,,,35,54.396233057560295,59.93910293844118,-5.542869880880886
AR,2,7,,,49,40.959442164261446,48.84210067607256,-7.882658511811115
AR,2,7,,,63,46.87255668491009,39.79957459326048,7.072982091649607
AR,2,7,,,84,48.33480176211454,29.275517001528208,19.05928476058633
AR,2,8,,,0,93.23579212434332,100,-6.76420787565668
AR,2,8,,,7,85.49072897032394,90.49317189122266,-5.002442920898716
AR,2,8,,,14,73.43255087430035,81.8901415893437,-8.457590715043352
AR,2,8,,,21,69.14347826086956,74.1049865904104,-4.961508329540848
AR,2,8,,,28,54.87842548872513,67.0599528952276,-12.181527406502468
AR,2,8,,,35,52.89669315560113,60.68467844365125,-7.787985288050123
AR,2,8,,,63,51.53059040116453,40.695116778932864,10.835473622231667
AR,2,8,,,84,42.87626284431396,30.15711083198005,12.719152012333915
AR,2,9,,,0,90.92434805060677,100,-9.075651949393233
AR,2,9,,,7,83.08905940167254,91.71616601165015,-8.627106609977602
AR,2,9,,,14,76.72026844467686,84.11855107876569,-7.3982826340888295
AR,2,9,,,21,75.37875431912818,77.15030995399546,-1.7715556348672834
AR,2,9,,,28,63.087424520871615,70.75930635590913,-7.671881835037517
AR,2,9,,,35,58.772234273318865,64.89772288607773,-6.125488612758865
AR,2,9,,,49,55.50942743469989,54.591024174881106,0.9184032598187812
AR,2,9,,,63,47.88664535061977,45.9211785549687,1.965466795651075
AR,2,9,,,84,48.22808870116156,35.42833158968604,12.799757111475522
AR,2,10,,,0,93.62250285086796,100,-6.37749714913204
AR,2,10,,,7,82.39664218258133,89.71013411785843,-7.313491935277099
AR,2,10,,,14,62.82546019072964,80.47908163444147,-17.653621443711828
AR,2,10,,,21,67.24697934260101,72.19789207107821,-4.950912728477206
AR,2,10,,,28,54.26172027184971,64.76882580723094,-10.507105535381228
AR,2,10,,,35,43.877593795849926,58.10420049822898,-14.226606702379051
AR,2,10,,,49,42.49699879951981,46.76172695200925,-4.26472815248944
AR,2,10,,,63,46.231004348013265,37.63340840738214,8.597595940631123
AR,2,10,,,84,57.56195180107297,27.170527584629834,30.391424216443138
CR,1,5,,,84,61.26772818237187,51.4484158252393,9.819312357132567
CR,1,5,,,0,92.1599355243127,100,-7.840064475687299
CR,1,5,,,7,88.78974762717054,94.61231460291067,-5.822566975740131
CR,1,5,,,14,80.0287043882921,89.51490074520146,-9.48619635690936
CR,1,5,,,21,78.79460400348128,84.69211950953323,-5.8975155060519455
CR,1,5,,,28,72.75558735637023,80.12917455423268,-7.373587197862449
CR,1,5,,,35,75.64169494474898,75.81206671796606,-0.1703717732170844
CR,1,5,,,49,68.10157811901826,67.86309627547323,0.23848184354503132
CR,2,6,,,0,93.703341628155,100,-6.296658371844998
CR,2,6,,,7,86.74945533769063,92.4788467816527,-5.729391443962072
CR,2,6,,,14,81.68908157848168,85.52337102064398,-3.8342894421623015
CR,2,6,,,21,73.99826162538027,79.09102724868573,-5.092765623305468
CR,2,6,,,28,70.817900562116,73.14246990734726,-2.324569345231268
CR,2,6,,,28,64.78185610936043,73.14246990734726,-8.36061379798683
CR,2,6,,,35,58.841369610127025,67.64131267793212,-8.799943067805096
CR,2,6,,,49,59.63194988253719,57.84913080478179,1.7828190777554056
CR,2,6,,,84,55.6866236367683,39.1299114491284,16.556712187639903
CR,2,7,,,0,91.79615202513666,100,-8.203847974863336
CR,2,7,,,7,85.25016244314489,92.6544221091483,-7.404259666003412
CR,2,7,,,14,77.50758560901603,85.8484193638023,-8.34083375478626
CR,2,7,,,21,72.0302049622438,79.54235685136916,-7.512151889125363
CR,2,7,,,28,63.75700770847933,73.69951107263263,-9.942503364153303
CR,2,7,,,35,60.73984612631955,68.28585608161552,-7.546009955295972
CR,2,7,,,49,53.43652433929906,58.622328095107775,-5.185803755808713
CR,2,7,,,63,54.62890794145665,50.32634206391221,4.3025658775444455
CR,2,7,,,84,60.00955358693765,40.03075859471776,19.97879499221989
CR,2,8,,,0,90.78612209046992,100,-9.213877909530083
CR,2,8,,,7,87.65227262804,93.20308284952019,-5.550810221480191
CR,2,8,,,14,73.44564608557025,86.86814652654522,-13.422500440974972
CR,2,8,,,21,69.23213650906506,80.96379057697852,-11.731654067913468
CR,2,8,,,28,64.8768779447062,75.4607488095733,-10.583870864867109
CR,2,8,,,35,69.27782497875955,70.33174423185493,-1.0539192530953727
CR,2,8,,,49,64.29013437057992,61.09588263400274,3.194251736577179
CR,2,8,,,63,57.58342208022719,53.072860848191596,4.510561232035592
CR,2,8,,,84,54.1084229390681,42.969799910341074,11.138623028727025
CR,2,9,,,0,93.87310440997038,100,-6.126895590029619
CR,2,9,,,7,89.69266517602699,93.0388930010328,-3.346227825005812
CR,2,9,,,14,80.20994133991974,86.56235610857632,-6.352414768656587
CR,2,9,,,21,73.66740576496673,80.53665787903131,-6.8692521140645795
CR,2,9,,,28,72.22126856063858,74.93041495067982,-2.7091463900412407
CR,2,9,,,35,60.84494042624602,69.71442859119288,-8.869488164946866
CR,2,9,,,49,54.60653831244347,60.346451936167526,-5.739913623724057
CR,2,9,,,63,59.62252742506694,52.23731062387619,7.385216801190751
CR,2,9,,,84,53.81051145139226,42.070184142358045,11.740327309034214
CR,2,10,,,0,92.29215896885071,100,-7.707841031149286
CR,2,10,,,7,87.36011662307594,92.2868696391301,-4.926753016054164
CR,2,10,,,14,75.87278610354224,85.16866307789796,-9.295876974355721
CR,2,10,,,21,72.77291452111226,78.59949306808961,-5.826578546977359
CR,2,10,,,28,69.42735447231425,72.53701170476498,-3.1096572324507292
CR,2,10,,,35,60.404624277456655,66.942137432097,-6.537513154640344
CR,2,10,,,49,65.59833687037117,57.01372348668611,8.58461338368506
CR,2,10,,,63,39.79445817614153,48.55782606454006,-8.763367888398527
CR,2,10,,,84,53.24520293571492,38.16620513161318,15.07899780410174
GM_PC,2,6,,,0,99.37436932391525,100,-0.6256306760847536
GM_PC,2,6,,,7,93.79340800513872,97.33664430394498,-3.5432362988062636
GM_PC,2,6,,,14,92.32761411460018,94.74422324352705,-2.416609128926865
GM_PC,2,6,,,21,90.06147540983608,92.2208475770875,-2.1593721672514192
GM_PC,2,6,,,28,87.86378211632909,89.7646783801929,-1.9008962638638138
GM_PC,2,6,,,35,82.4157899029443,87.37392570550858,-4.958135802564286
GM_PC,2,6,,,49,84.14605137963844,82.78174722706052,1.3643041525779154
GM_PC,2,6,,,63,77.35351351351352,78.43092339769848,-1.0774098841849593
GM_PC,2,6,,,84,77.19020238149137,72.32966231989376,4.860540061597618
GM_PC,2,7,,,0,98.65711361310132,100,-1.3428863868986838
GM_PC,2,7,,,7,94.15035049552816,97.12979968830024,-2.97944919277208
GM_PC,2,7,,,14,92.83556499020249,94.34197987489328,-1.5064148846907983
GM_PC,2,7,,,21,89.14586070959265,91.63417607446036,-2.4883153648677023
GM_PC,2,7,,,28,85.32900948236936,89.00409166714768,-3.6750821847783186
GM_PC,2,7,,,35,80.1407254640301,86.44949595069166,-6.308770486661558
GM_PC,2,7,,,49,79.74673431070987,81.5581660717482,-1.8114317610383353
GM_PC,2,7,,,63,78.1367603491072,76.94358862174072,1.1931717273664901
GM_PC,2,7,,,84,77.00817505185668,70.50662347565434,6.5015515762023455
GM_PC,2,8,,,0,100.2458984900296,100,0.24589849002960307
GM_PC,2,8,,,7,90.74383802816902,96.68129373035703,-5.937455702188004
GM_PC,2,8,,,14,91.59225889863036,93.47272557375574,-1.8804666751253762
GM_PC,2,8,,,21,87.81507632834997,90.37064036973334,-2.555564041383363
GM_PC,2,8,,,28,77.37889447236182,87.37150426186649,-9.99260978950467
GM_PC,2,8,,,35,67.32621398347773,84.47190067204656,-17.14568668856883
GM_PC,2,8,,,49,81.38340988921912,78.9581879021176,2.425221987101523
GM_PC,2,8,,,63,81.36801146835961,73.8043702957568,7.563641172602814
GM_PC,2,8,,,84,74.17879918180725,66.69748205712467,7.481317124682576
GM_PC,2,9,,,0,99.92144231902274,100,-0.07855768097725502
GM_PC,2,9,,,7,94.40593856375344,96.4366437482786,-2.0307051845251607
GM_PC,2,9,,,14,90.38617227979276,93.00026257432401,-2.614090294531252
GM_PC,2,9,,,21,88.32075774602664,89.68633190376453,-1.365574157737882
GM_PC,2,9,,,28,81.84531109475923,86.49048838893212,-4.645177294172896
GM_PC,2,9,,,35,80.8841818108878,83.40852416378074,-2.524342352892944
GM_PC,2,9,,,49,78.91913638192304,77.57014648168457,1.3489899002384647
GM_PC,2,9,,,63,76.72528805336569,72.14043990725443,4.584848146111256
GM_PC,2,10,,,0,109.16623059480202,100,9.166230594802016
GM_PC,2,10,,,7,94.66420966420966,97.06141968151127,-2.397210017301603
GM_PC,2,10,,,14,87.72615730150147,94.2091919059046,-6.48303460440313
GM_PC,2,10,,,21,87.13591257884377,91.44077913435041,-4.304866555506635
GM_PC,2,10,,,28,83.84961926404338,88.75371839563563,-4.904099131592247
GM_PC,2,10,,,35,80.80099923445746,86.14561909493456,-5.344619860477096
GM_PC,2,10,,,49,84.88315283771679,81.1570916116765,3.7260612260402866
GM_PC,2,10,,,63,75.14423826602213,76.45744018169513,-1.3132019156730053
GM_PC,2,10,,,84,76.4272782136391,69.91327900832192,6.513999205317177
PC,2,6,,,0,96.6440513690332,100,-3.355948630966793
PC,2,6,,,7,91.01874555089772,96.07067617786572,-5.0519306269680015
PC,2,6,,,14,86.75206937327552,92.29574821272337,-5.54367883944785
PC,2,6,,,21,76.60024400162668,88.66914939138375,-12.068905389757077
PC,2,6,,,35,74.30502474152149,81.83785486463508,-7.532830123113584
PC,2,6,,,49,73.02436125965536,75.53286046855756,-2.508499208902194
PC,2,6,,,63,68.25884698454892,69.71361871592755,-1.454771731378628
PC,2,6,,,84,75.35017561677458,61.814472725365455,13.535702891409123
PC,2,7,,,0,97.8939125417302,100,-2.1060874582697977
PC,2,7,,,7,92.0079960835509,95.14491906506305,-3.136922981512143
PC,2,7,,,14,84.5495803044299,90.52555623897398,-5.975975934544081
PC,2,7,,,21,83.08844832581433,86.13046721676992,-3.042018890955589
PC,2,7,,,28,73.65950907505086,81.9487633237564,-8.289254248705532
PC,2,7,,,35,66.14772048576548,77.97008453920809,-11.822364053442612
PC,2,7,,,49,68.1766841468334,70.58285272911637,-2.406168582282973
PC,2,7,,,63,67.91490029831999,63.89552004236842,4.0193802559515746
PC,2,7,,,84,67.70741835023556,55.03350994307677,12.673908407158784
PC,2,8,,,0,101.28194659916714,100,1.2819465991671422
PC,2,8,,,7,91.30087117545558,95.45657786700224,-4.155706691546655
PC,2,8,,,14,85.65810495268526,91.1195825807906,-5.461477628105342
PC,2,8,,,21,79.84592545038718,86.97963529831979,-7.133709847932607
PC,2,8,,,28,67.85543322163716,83.02778329697519,-15.17235007533803
PC,2,8,,,35,72.27191413237925,79.255480614123,-6.98356648174375
PC,2,8,,,49,74.57931710504819,72.21726310798829,2.3620539970599026
PC,2,8,,,63,72.13011211116374,65.80406869527022,6.326043415893523
PC,2,8,,,84,66.14526932178238,57.236138962601856,8.909130359180523
PC,2,9,,,0,97.53833571866696,100,-2.461664281333043
PC,2,9,,,7,87.77270017881979,95.41957096384594,-7.646870785026152
PC,2,9,,,14,82.0334830543079,91.04894522924434,-9.015462174936445
PC,2,9,,,21,81.51648900732846,86.87851290485202,-5.362023897523557
PC,2,9,,,28,74.808271431439465,82.89910427357934,-8.090832842139875
PC,2,9,,,35,72.69082745349584,79.10196963072069,-6.411142177224846
PC,2,9,,,49,71.85266167689849,72.02150900432837,-0.16884732742987296
PC,2,9,,,63,71.3549010918174,65.57482428662621,5.780076805191186
PC,2,9,,,84,65.25140996107712,56.9704321801906,8.280977780886516
PC,2,10,,,0,96.26602564102564,100,-3.733974358974365
PC,2,10,,,7,93.21533923303836,95.3751680388255,-2.159828805787143
PC,2,10,,,14,83.29667644183773,90.96422678434203,-7.667550342504299
PC,2,10,,,21,79.99253143023111,86.75728415078453,-6.7647527205534175
PC,2,10,,,28,71.587929077459,82.74490554473208,-11.156976467273083
PC,2,10,,,35,68.59360086317798,78.91809270685566,-10.324491843677677
PC,2,10,,,49,72.65073665965085,71.78723282374146,0.8635038359093841
PC,2,10,,,63,65.64148340501501,65.3007012679918,0.34078213702321136
PC,2,10,,,84,72.08895043375554,56.653114951526604,15.435835482228939
AR,1,1,,,0,92.70785340314136,100,-7.292146596858643
AR,1,1,,,7,88.93962880723952,92.59237725638076,-3.6527484491412423
AR,1,1,,,14,71.26512361914781,85.73348325987936,-14.46835964073155
AR,1,1,,,21,70.65884118088346,79.38267025502354,-8.723829074140085
AR,1,1,,,28,68.42195393441219,73.50230151872015,-5.080347584307958
AR,1,1,,,35,60.978398983481576,68.05752831433584,-7.079129330854265
AR,1,1,,,49,61.57506225542512,58.34808964445878,3.2269726109663353
AR,1,1,,,63,51.22835451676191,50.02384966779147,1.2045048489704442
AR,1,1,,,84,54.27166296731515,39.71026763065159,14.561395336663558
AR,1,2,,,0,92.85001085304972,100,-7.149989146950276
AR,1,2,,,7,85.15061918841326,96.29778846083981,-11.147169272426552
AR,1,2,,,14,81.07915478785846,92.73264062448652,-11.653485836628064
AR,1,2,,,21,77.52494838265656,89.29948210271881,-11.774533720062252
AR,1,2,,,28,67.7466536654552,85.99342637190168,-18.246772706446478
AR,1,2,,,35,80.72751617942423,82.8097678178419,-2.0822516384176737
AR,1,2,,,49,95.14058679706602,76.791684392491,18.348902404575014
AR,1,2,,,63,52.69019019019019,71.2109567171786,-18.520766526988417
AR,1,2,,,84,83.94789324054823,63.59101554883174,20.356877691716484
AR,1,3,,,0,93.11156903149838,100,-6.888430968501623
AR,1,3,,,7,84.61538461538463,92.78184500818959,-8.166460392804964
AR,1,3,,,14,77.856860419138,86.08470763123715,-8.22784721209915
AR,1,3,,,21,70.97501734906315,79.87098001016761,-8.895962661104463
AR,1,3,,,35,74.55201809324981,68.75669962395666,5.79531846929315
AR,1,3,,,49,60.4988701547019,59.18900384817104,1.3098663065308571
AR,1,3,,,84,44.32231185178619,40.696405586299115,3.6259062654870746
AR,1,4,,,0,93.41560158660202,100,-6.584398413397977
AR,1,4,,,7,83.53896816684963,93.15846734706118,-9.619499180211548
AR,1,4,,,14,84.25747550046067,86.78500038453465,-2.5275248840739835
AR,1,4,,,21,70.56529360210342,80.84757624537363,-10.282282643270207
AR,1,4,,,28,75.45347261681017,75.31636291743679,0.1371096993733829
AR,1,4,,,35,61.732821529506055,70.16356935543445,-8.430747825928393
AR,1,4,,,49,58.06831566548881,60.89145393491703,-2.8231382694282203
AR,1,4,,,63,59.80710253789058,52.84464853156648,6.962454006324101
AR,1,4,,,84,51.768273647594,42.723617513157926,9.044656134436075
AR,1,5,,,0,93.30380182349906,100,-6.696198176500943
AR,1,5,,,7,83.48924228250702,91.83791494417981,-8.348672661672794
AR,1,5,,,14,70.094795206582,84.34202621294406,-14.247231006362057
AR,1,5,,,21,77.20897305428963,77.4579582956414,-0.24898524135177524
AR,1,5,,,28,63.515621518028254,71.13577385704943,-7.620152339021175
AR,1,5,,,35,64.32889963724305,65.32961148972116,-1.000711852478105
AR,1,5,,,49,57.71171941830625,55.10031804747513,2.611401370831125
AR,1,5,,,84,46.91374192421861,35.996823710016216,10.916918214202397
CR,1,1,,,0,93.16529109971002,100,-6.834708900289982
CR,1,1,,,7,83.93613282965826,94.35088691466862,-10.414754085010358
CR,1,1,,,14,74.74684111479523,89.02089861584585,-14.27405750105062
CR,1,1,,,21,76.46730256939074,83.99200738345853,-7.524704814067789
CR,1,1,,,28,73.15986455177331,79.24720390372707,-6.087339351953759
CR,1,1,,,35,72.23834652594547,74.77043973824237,-2.5320932122968998
CR,1,1,,,49,68.52603552878529,66.56131735400287,1.9647181747824192
CR,1,1,,,63,62.42583753401436,59.25348283907831,3.172354694936054
CR,1,1,,,84,59.29386873539912,49.768189681154986,9.525679054244137
CR,1,2,,,0,93.3462333435947,100,-6.6537666564052955
CR,1,2,,,7,89.81004793183028,96.38724822022591,-6.57720028839563
CR,1,2,,,14,76.97380146141508,92.90501619467445,-15.931214733259367
CR,1,2,,,21,89.20779685264665,89.54858856860194,-0.3407917159552909
CR,1,2,,,28,77.71126760563381,86.3134203413272,-8.602152735693394
CR,1,2,,,35,80.88672969187675,83.195130711762,-2.3084010198852525
CR,1,2,,,49,82.27859135285914,77.29244966094306,4.986141691916075
CR,1,2,,,63,64.14646996838778,71.80856287475976,-7.662092906371981
CR,1,2,,,84,77.0943477326456,64.30355452574445,12.790793206901157
CR,1,3,,,0,91.83910019747574,100,-8.160899802524256
CR,1,3,,,7,85.51344204495372,93.9735808641005,-8.460138819146778
CR,1,3,,,14,75.36969804303551,88.31033900421636,-12.940640961180847
CR,1,3,,,21,76.28659270151049,82.98838783548854,-6.701795133978052
CR,1,3,,,35,72.7853117294822,73.28732663165378,-0.502014902171581
CR,1,3,,,49,61.37605133096332,64.7202865955408,-3.3442352645774776
CR,1,3,,,84,58.76054368253136,47.43176783421642,11.32877584831494
CR,1,4,,,0,92.82532962913966,100,-7.1746703708603405
CR,1,4,,,7,87.62274784390743,95.36463659355107,-7.7418887496436355
CR,1,4,,,14,94.8590895013936,90.9441391262006,3.9149503751930013
CR,1,4,,,21,79.60827954596039,86.72854778083469,-7.1202682348743025
CR,1,4,,,28,76.58312773232913,82.7083644140573,-6.125236681728168
CR,1,4,,,35,71.20617477760337,78.87453115593566,-7.668356378332291
CR,1,4,,,49,61.00875364735307,71.73176334959255,-10.723009702239487
CR,1,4,,,63,65.19105110562984,65.23583465833042,-0.04478355270057932
CR,1,4,,,84,74.75326753801014,56.578092031876416,18.17517550613372
GM_PC,1,1,,,0,99.18492515030464,100,-0.8150748496953639
GM_PC,1,1,,,7,97.00200959685029,97.6372357536352,-0.6352261567849098
GM_PC,1,1,,,14,88.43736058725717,95.33029805610941,-6.892937468852239
GM_PC,1,1,,,21,87.52566115203477,93.07786785768666,-5.552206705651884
GM_PC,1,1,,,28,83.19509703779366,90.87865727466657,-7.683560236872907
GM_PC,1,1,,,35,80.62349155269509,88.73140885300434,-8.107917300309254
GM_PC,1,1,,,49,85.18047057857348,84.58791652895408,0.5925540496193946
GM_PC,1,1,,,63,82.55272638950734,80.63791294650497,1.914813443002373
GM_PC,1,1,,,84,83.46771067524615,75.05605005554428,8.411660619701877
GM_PC,1,2,,,0,100.2531971504592,100,0.25319715045920077
GM_PC,1,2,,,7,90.0972301658632,97.33867428939624,-7.241444123533043
GM_PC,1,2,,,14,92.2346955257632,94.74817512417168,-2.5134795984084803
GM_PC,1,2,,,21,87.27301436917733,92.22661757926423,-4.9536032100868965
GM_PC,1,2,,,28,86.84005302971224,89.77216689360705,-2.9321138638948128
GM_PC,1,2,,,35,90.03354484096513,87.38303713510138,2.6505077058637596
GM_PC,1,2,,,49,86.45322115759134,82.79383305358581,3.6593881040055294
GM_PC,1,2,,,63,77.01548645446002,78.44564593362583,-1.430159479165809
GM_PC,1,2,,,84,73.88599772320703,72.34776588278874,1.538231840418291
GM_PC,1,3,,,0,97.50827172092642,100,-2.491728279073584
GM_PC,1,3,,,7,94.21378456458936,97.53415322040304,-3.320368655813681
GM_PC,1,3,,,14,85.43176268065174,95.12911044421057,-9.697347763558824
GM_PC,1,3,,,21,86.74781346983193,92.78337233786276,-6.035558868030833
GM_PC,1,3,,,35,88.35038519545103,88.26399674514857,0.08638845030245079
GM_PC,1,3,,,49,83.73908120349401,83.96475494616679,-0.2256737426727824
GM_PC,1,3,,,84,78.54467845205976,74.11064857275665,4.434029879303111
GM_PC,1,4,,,0,98.53658536585364,100,-1.4634146341463605
GM_PC,1,4,,,7,92.92538396420366,98.18485673225462,-5.259472768050955
GM_PC,1,4,,,14,91.17261077659408,96.40266091533364,-5.230050138739557
GM_PC,1,4,,,21,89.38752239778465,94.65281450580154,-5.265292108016894
GM_PC,1,4,,,28,91.25086625086624,92.93473031556795,-1.6838640647017087
GM_PC,1,4,,,35,84.93420243512483,91.24783181484759,-6.313629379722755
GM_PC,1,4,,,49,84.71651926721415,87.96533789706145,-3.2488186298472925
GM_PC,1,4,,,63,92.37098285202234,84.80092641593161,7.570056436090724
GM_PC,1,4,,,84,83.12083807048887,80.26646357967302,2.8543744908158573
GM_PC,1,5,,,0,99.42147354092224,100,-0.5785264590777643
GM_PC,1,5,,,7,88.51524879614766,97.61597629900814,-9.10072750286048
GM_PC,1,5,,,14,89.06149128469981,95.28878828808519,-6.227297003385374
GM_PC,1,5,,,21,94.16102759431097,93.01708099090928,1.1439466034016874
GM_PC,1,5,,,28,86.47077948467853,90.7995317341152,-4.3287522494366755
GM_PC,1,5,,,35,85.2964007027005,88.63484937718427,-3.3384486744837716
GM_PC,1,5,,,49,77.6505178163946,84.45907397248831,-6.808556156093715
GM_PC,1,5,,,84,84.69269102990033,74.86017300087966,9.832518029020676
PC,1,1,,,0,97.68669002490608,100,-2.3133099750939152
PC,1,1,,,7,90.75385583884167,96.26937268906701,-5.515516850225339
PC,1,1,,,14,84.4522535038614,92.67792117946482,-8.225667675603418
PC,1,1,,,21,78.9497233973316,89.22045334073876,-10.270729943407161
PC,1,1,,,28,82.64049737900767,85.89197074147094,-3.2514733624632726
PC,1,1,,,35,75.99767451517793,82.68766142309104,-6.689986907913109
PC,1,1,,,49,70.19985872771845,76.63320567883505,-6.433346951116604
PC,1,1,,,63,73.8017127519066,71.0220619563279,2.7796507955787035
PC,1,1,,,84,76.99328328723824,63.36620564937612,13.627077637862122
PC,1,2,,,0,97.22961339802784,100,-2.770386601972163
PC,1,2,,,7,91.371158392435,95.81394485894741,-4.442786466512402
PC,1,2,,,14,84.94067413885126,91.80312029433414,-6.862446155482871
PC,1,2,,,21,78.2720026432082,87.96019105760647,-9.688188414398269
PC,1,2,,,28,79.13821333013857,84.27812895775985,-5.139915627621278
PC,1,2,,,35,72.80515735007211,80.7502000077406,-7.945042657668495
PC,1,2,,,49,73.69081343585593,74.13120325102152,-0.44038981516558806
PC,1,2,,,63,71.52136887550996,68.05475769617262,3.466611179337349
PC,1,2,,,84,70.00670522169139,59.86109489334457,10.14561032834682
PC,1,3,,,0,97.8336883565773,100,-2.166311643422702
PC,1,3,,,7,91.56771568546044,95.95692832761324,-4.389212642152799
PC,1,3,,,14,82.48506571087216,92.07732094070705,-9.59225522983489
PC,1,3,,,21,74.96794871794872,88.35456886106068,-13.38662014311197
PC,1,3,,,35,82.44894577689409,81.35451993597685,1.0944258409172392
PC,1,3,,,49,71.90746753246754,74.90906242122091,-3.001594888753374
PC,1,3,,,84,70.3287197231834,60.94190812132552,9.386811601857879
PC,1,4,,,0,99.5257974303895,100,-0.47420256961049745
PC,1,4,,,7,86.1582482215952,95.29641043541886,-9.138162213823662
PC,1,4,,,14,84.53727879315346,90.8140584187581,-6.276779625604632
PC,1,4,,,21,80.56025114706593,86.54253784380079,-5.98228669673486
PC,1,4,,,28,79.69312213077464,82.47193206485609,-2.778809934081451
PC,1,4,,,35,91.23522910822068,78.59279087454507,12.642438233675605
PC,1,4,,,49,82.64429637954564,71.37330301774175,11.270993361803889
PC,1,4,,,63,57.42197305664798,64.81699309792923,-7.395020041281249
PC,1,4,,,84,53.413484005267854,56.09427078098914,-2.6807867757212875
PC,1,5,,,0,97.51789186282215,100,-2.482108137177846
PC,1,5,,,7,90.40266798418972,96.26697412544468,-5.864306141254957
PC,1,5,,,14,83.32046018130818,92.67330307269036,-9.352842891382181
PC,1,5,,,21,89.10402132162734,89.21378469018177,-0.10976336855442526
PC,1,5,,,28,77.64500264195424,85.88341102402721,-8.238408382072976
PC,1,5,,,35,77.01650324819433,82.67736106854959,-5.660857820355261
PC,1,5,,,49,82.37245620423191,76.61984139555948,5.752614808672433
PC,1,5,,,84,69.15172274833769,63.347262920756734,5.804459827580956
