days,spp,soil_block,mean,sd,spp_soil
0,AR,1,25.16668561172793,1.9476344145410651,AR_1
0,AR,2,23.349985227463137,1.279255252902031,AR_2
0,CR,1,29.79148133624908,3.174907758767707,CR_1
0,CR,2,30.274031874419332,1.1688369579117563,CR_2
0,GM_PC,1,29.179702875112525,4.372320747486267,GM_PC_1
0,GM_PC,2,25.88791093368185,5.158639236760199,GM_PC_2
0,PC,1,24.53799417625048,5.161337524471989,PC_1
0,PC,2,25.30678622960207,2.735648977104917,PC_2
14,AR,1,26.651993545240913,2.6326533592156163,AR_1
14,AR,2,28.57156273684904,3.3890914130245893,AR_2
14,CR,1,33.85870532229685,3.0834540360658287,CR_1
14,CR,2,35.408518655087505,4.8173486641539816,CR_2
14,GM_PC,1,33.70235607191537,3.773314237024501,GM_PC_1
14,GM_PC,2,28.53608373258287,2.649469479017798,GM_PC_2
14,PC,1,25.99615678990928,3.4416555196227754,PC_1
14,PC,2,26.47994798141503,4.700080079549732,PC_2
35,AR,1,17.106778012845467,1.6566943764861977,AR_1
35,AR,2,18.352084615801964,1.2300538748055785,AR_2
35,CR,1,25.862351330059635,2.911150877336015,CR_1
35,CR,2,24.810629609415734,3.983260629269626,CR_2
35,GM_PC,1,28.485724609013893,3.4831418169119144,GM_PC_1
35,GM_PC,2,28.72421732742546,2.342600130557573,GM_PC_2
35,PC,1,26.21082727710549,2.214072355799881,PC_1
35,PC,2,22.35289790832264,3.8101809433675977,PC_2
63,AR,1,18.291584086688705,1.2744157590407017,AR_1
63,AR,2,17.866346140384344,2.267038080950494,AR_2
63,CR,1,19.85696152800024,2.0286935271395925,CR_1
63,CR,2,20.99315118696972,2.482683903070125,CR_2
63,GM_PC,1,23.38854504827067,1.3549988247326616,GM_PC_1
63,GM_PC,2,25.193352636141537,2.206207461071483,GM_PC_2
63,PC,1,19.86422149231943,2.935568905631349,PC_1
63,PC,2,20.414947036768837,2.7319345407119373,PC_2
